2025.05.07 08:23:27 INFO  web[][DbMigrations] #5005 'Drop 'events_uuid' index'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5005 'Drop 'events_uuid' index': success | time=6ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5006 'Recreate PK on 'uuid' for 'events' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5006 'Recreate PK on 'uuid' for 'events' table': success | time=8ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table': success | time=2ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index': success | time=6ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table': success | time=3ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table': success | time=11ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index': success | time=6ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table': success | time=9ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6001 'Drop 'manual_measures_component_uuid' index'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6001 'Drop 'manual_measures_component_uuid' index': success | time=9ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6002 'Drop 'manual_measures' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6002 'Drop 'manual_measures' table': success | time=17ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6003 'Drop custom metrics data from 'live_measures' table'...
2025.05.07 08:23:27 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6003 'Drop custom metrics data from 'live_measures' table': success | time=27ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table'...
2025.05.07 08:23:27 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table': success | time=12ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table'...
2025.05.07 08:23:27 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table': success | time=8ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table': success | time=13ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6007 'Create Audit table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6007 'Create Audit table': success | time=24ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6008 'Add column 'removed' to 'plugins' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6008 'Add column 'removed' to 'plugins' table': success | time=11ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6009 'Alter column 'client_secret' of 'alm_settings' table to length 160'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6009 'Alter column 'client_secret' of 'alm_settings' table to length 160': success | time=5ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6010 'Alter column 'private_key' of 'alm_settings' table to length 2500'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6010 'Alter column 'private_key' of 'alm_settings' table to length 2500': success | time=5ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6011 'Create 'portfolios' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6011 'Create 'portfolios' table': success | time=18ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6012 'Create unique index for 'kee' in 'portfolios''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6012 'Create unique index for 'kee' in 'portfolios'': success | time=14ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6013 'Create 'portfolio_references' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6013 'Create 'portfolio_references' table': success | time=13ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6014 'Create unique index for 'portfolio_references''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6014 'Create unique index for 'portfolio_references'': success | time=13ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6015 'Create 'portfolio_projects' table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6015 'Create 'portfolio_projects' table': success | time=14ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6016 'Create unique index for 'portfolio_projects''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6016 'Create unique index for 'portfolio_projects'': success | time=12ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6017 'Migrate portfolios to new tables'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6017 'Migrate portfolios to new tables': success | time=5ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6018 'Create index for 'issue_changes' on 'issue_key' and 'change_type''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6018 'Create index for 'issue_changes' on 'issue_key' and 'change_type'': success | time=13ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6019 'Remove SVN related properties'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6019 'Remove SVN related properties': success | time=6ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6101 'Change size of column 'selection_expression' in 'Portfolios''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6101 'Change size of column 'selection_expression' in 'Portfolios'': success | time=5ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6102 'Migrate Bitbucket.org authentication plugin settings to built-in authentication settings'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6102 'Migrate Bitbucket.org authentication plugin settings to built-in authentication settings': success | time=3ms
